Time,main.plant_node,main.setpoint,main.out
4.321000e-02,3.403466e+00,3.300000e+00,2.115315e-01
4.322000e-02,3.195505e+00,3.300000e+00,-2.047660e-01
4.323000e-02,3.403300e+00,3.300000e+00,2.111988e-01
4.324000e-02,3.195671e+00,3.300000e+00,-2.044335e-01
4.325000e-02,3.403135e+00,3.300000e+00,2.108666e-01
4.326000e-02,3.195837e+00,3.300000e+00,-2.041016e-01
4.327000e-02,3.402969e+00,3.300000e+00,2.105349e-01
4.328000e-02,3.196003e+00,3.300000e+00,-2.037701e-01
4.329000e-02,3.402804e+00,3.300000e+00,2.102037e-01
4.330000e-02,3.196169e+00,3.300000e+00,-2.034393e-01
4.331000e-02,3.402639e+00,3.300000e+00,2.098731e-01
4.332000e-02,3.196334e+00,3.300000e+00,-2.031089e-01
4.333000e-02,3.402474e+00,3.300000e+00,2.095430e-01
4.334000e-02,3.196499e+00,3.300000e+00,-2.027791e-01
4.335000e-02,3.402310e+00,3.300000e+00,2.092135e-01
4.336000e-02,3.196664e+00,3.300000e+00,-2.024498e-01
4.337000e-02,3.402146e+00,3.300000e+00,2.088844e-01
4.338000e-02,3.196828e+00,3.300000e+00,-2.021210e-01
4.339000e-02,3.401982e+00,3.300000e+00,2.085559e-01
4.340000e-02,3.196992e+00,3.300000e+00,-2.017928e-01
4.341000e-02,3.401818e+00,3.300000e+00,2.082280e-01
4.342000e-02,3.197156e+00,3.300000e+00,-2.014650e-01
4.343000e-02,3.401655e+00,3.300000e+00,2.079005e-01
4.344000e-02,3.197320e+00,3.300000e+00,-2.011378e-01
4.345000e-02,3.401492e+00,3.300000e+00,2.075736e-01
4.346000e-02,3.197483e+00,3.300000e+00,-2.008112e-01
4.347000e-02,3.401329e+00,3.300000e+00,2.072471e-01
4.348000e-02,3.197646e+00,3.300000e+00,-2.004850e-01
4.349000e-02,3.401166e+00,3.300000e+00,2.069213e-01
4.350000e-02,3.197809e+00,3.300000e+00,-2.001594e-01
4.351000e-02,3.401004e+00,3.300000e+00,2.065959e-01
4.352000e-02,3.197972e+00,3.300000e+00,-1.998343e-01
4.353000e-02,3.400842e+00,3.300000e+00,2.062710e-01
4.354000e-02,3.198134e+00,3.300000e+00,-1.995097e-01
4.355000e-02,3.400680e+00,3.300000e+00,2.059467e-01
4.356000e-02,3.198296e+00,3.300000e+00,-1.991856e-01
4.357000e-02,3.400519e+00,3.300000e+00,2.056229e-01
4.358000e-02,3.198458e+00,3.300000e+00,-1.988621e-01
4.359000e-02,3.400357e+00,3.300000e+00,2.052996e-01
4.360000e-02,3.198620e+00,3.300000e+00,-1.985390e-01
4.361000e-02,3.400196e+00,3.300000e+00,2.049768e-01
4.362000e-02,3.198781e+00,3.300000e+00,-1.982165e-01
4.363000e-02,3.400036e+00,3.300000e+00,2.046545e-01
4.364000e-02,3.198942e+00,3.300000e+00,-1.978945e-01
4.365000e-02,3.399875e+00,3.300000e+00,2.043328e-01
4.366000e-02,3.199103e+00,3.300000e+00,-1.975730e-01
4.367000e-02,3.399715e+00,3.300000e+00,2.040116e-01
4.368000e-02,3.199264e+00,3.300000e+00,-1.972520e-01
4.369000e-02,3.399555e+00,3.300000e+00,2.036908e-01
4.370000e-02,3.199424e+00,3.300000e+00,-1.969315e-01
